ID	Name	ParentID	AmazonCategoryId
901	Ticket Stubs	429	3311069011
902	Trading Cards	429	3311070011
903	Hockey Pucks	429	3311057011
904	Automotive Racing Parts	429	5395824011
905	Tricycles, Scooters & Wagons	430	256994011
906	Building Toys	430	166092011
907	Collectible Toys	430	19431275011
908	Dolls & Accessories	430	166118011
909	Dress Up & Pretend Play	430	166316011
910	Games & Accessories	430	166220011
911	Hobbies	430	276729011
912	Kids' Electronics	430	166164011
913	Kids' Furniture, Décor & Storage	430	166210011
914	Learning & Education	430	166269011
915	Novelty & Gag Toys	430	166027011
916	Party Supplies	430	1266203011
917	Play Vehicles	430	166508011
918	Puppets & Puppet Theaters	430	166333011
919	Puzzles	430	166359011
920	Sports & Outdoor Play	430	166420011
921	Stuffed Animals & Plush Toys	430	166461011
922	Toy Figures & Playsets	430	165993011
923	Baby & Toddler Toys	430	196601011
924	Arts & Crafts	430	166057011
925	Widescreen	431	692184
926	Animation	431	712260
927	Anime & Manga	431	281300
928	Art House & International	431	126
929	Boxed Sets	431	501232
930	Classics	431	127
931	Comedy	431	128
932	Cult Movies	431	162482
933	Documentary	431	508530
934	Drama	431	129
935	Educational	431	290220
936	Fitness	431	169660
937	African American Cinema	431	301597
938	Gay & Lesbian	431	301665
939	Kids & Family	431	132
940	Military & War	431	586154
941	Music Video & Concerts	431	133
942	Musicals & Performing Arts	431	508526
943	Mystery & Suspense	431	512026
944	Science Fiction & Fantasy	431	144
945	Spanish Language	431	541660
946	Special Interests	431	135
947	Sports	431	169798
948	Television	431	136
949	Westerns	431	139725
950	Horror	431	131
951	Action & Adventure	431	141
952	Xbox Series X & S	433	20972798011
953	Installation Services	433	2686472011
954	Legacy Systems	433	294940
955	Mac	433	229647
956	Microconsoles	433	19497043011
957	Nintendo 3DS & 2DS	433	2622269011
958	Nintendo Switch	433	16227128011
959	Digital Games	433	979455011
960	Online Game Services	433	17596052011
961	PlayStation 4	433	6427814011
962	PlayStation 5	433	20972781011
963	PlayStation Vita	433	3010556011
964	Virtual Reality	433	21479453011
965	Warranties	433	2242351011
966	Xbox One	433	6469269011
967	PC	433	229575
968	Accessories	433	471304
969	TV	434	16262841
970	Movies	434	16386761
